Method Name,Description
java.awt.geom.AffineTransform.shear,Concatenates this transform with a shearing transformation.
java.awt.geom.AffineTransform.toString,Returns aStringthat represents the value of thisObject.
java.awt.geom.AffineTransform.transform,Transforms an array of double precision coordinates by this transform.
java.awt.geom.AffineTransform.transform,Transforms an array of double precision coordinates by this transform  and stores the results into an array of floats.
java.awt.geom.AffineTransform.transform,Transforms an array of floating point coordinates by this transform  and stores the results into an array of doubles.
java.awt.geom.AffineTransform.transform,Transforms an array of floating point coordinates by this transform.
java.awt.geom.AffineTransform.transform,Transforms an array of point objects by this transform.
java.awt.geom.AffineTransform.transform,Transforms the specifiedptSrcand stores the result  inptDst.
java.awt.geom.AffineTransform.translate,Concatenates this transform with a translation transformation.
java.awt.geom.Arc2D.getAngleExtent,Returns the angular extent of the arc.
java.awt.geom.Arc2D.getAngleStart,Returns the starting angle of the arc.
java.awt.geom.Arc2D.getHeight,Returns the height of the framing rectangle  indoubleprecision.
java.awt.geom.Arc2D.getWidth,Returns the width of the framing rectangle indoubleprecision.
java.awt.geom.Arc2D.getX,Returns the X coordinate of the upper-left corner of  the framing rectangle indoubleprecision.
java.awt.geom.Arc2D.getY,Returns the Y coordinate of the upper-left corner of  the framing rectangle indoubleprecision.
java.awt.geom.Arc2D.makeBounds,Constructs aRectangle2Dof the appropriate precision  to hold the parameters calculated to be the framing rectangle  of this arc.
java.awt.geom.Arc2D.setAngleExtent,Sets the angular extent of this arc to the specified double  value.
java.awt.geom.Arc2D.setAngleStart,Sets the starting angle of this arc to the specified double  value.
java.awt.geom.Arc2D.setArc,"Sets the location, size, angular extents, and closure type of  this arc to the specified double values."
java.awt.geom.Arc2D.contains,Determines whether or not the specified point is inside the boundary  of the arc.
java.awt.geom.Arc2D.contains,Determines whether or not the interior of the arc entirely contains  the specified rectangle.
java.awt.geom.Arc2D.containsAngle,Determines whether or not the specified angle is within the  angular extents of the arc.
java.awt.geom.Arc2D.equals,Determines whether or not the specifiedObjectis  equal to thisArc2D.
java.awt.geom.Arc2D.getArcType,"Returns the arc closure type of the arc:OPEN,CHORD, orPIE."
java.awt.geom.Arc2D.getBounds2D,Returns the high-precision framing rectangle of the arc.
java.awt.geom.Arc2D.getEndPoint,Returns the ending point of the arc.
java.awt.geom.Arc2D.getPathIterator,Returns an iteration object that defines the boundary of the  arc.
java.awt.geom.Arc2D.getStartPoint,Returns the starting point of the arc.
java.awt.geom.Arc2D.hashCode,Returns the hashcode for thisArc2D.
java.awt.geom.Arc2D.intersects,Determines whether or not the interior of the arc intersects  the interior of the specified rectangle.
java.awt.geom.Arc2D.setAngles,Sets the starting angle and angular extent of this arc using two  sets of coordinates.
java.awt.geom.Arc2D.setAngles,Sets the starting angle and angular extent of this arc using  two points.
java.awt.geom.Arc2D.setAngleStart,Sets the starting angle of this arc to the angle that the  specified point defines relative to the center of this arc.
java.awt.geom.Arc2D.setArc,Sets this arc to be the same as the specified arc.
java.awt.geom.Arc2D.setArc,"Sets the location, size, angular extents, and closure type of  this arc to the specified values."
java.awt.geom.Arc2D.setArcByCenter,"Sets the position, bounds, angular extents, and closure type of  this arc to the specified values."
java.awt.geom.Arc2D.setArcByTangent,"Sets the position, bounds, and angular extents of this arc to the  specified value."
java.awt.geom.Arc2D.setArcType,"Sets the closure type of this arc to the specified value:OPEN,CHORD, orPIE."
java.awt.geom.Arc2D.setFrame,Sets the location and size of the framing rectangle of thisShapeto the specified rectangular values.
java.awt.geom.Area.add,Adds the shape of the specifiedAreato the  shape of thisArea.
java.awt.geom.Area.clone,Returns an exact copy of thisAreaobject.
java.awt.geom.Area.createTransformedArea,Creates a newAreaobject that contains the same  geometry as thisAreatransformed by the specifiedAffineTransform.
java.awt.geom.Area.equals,Tests whether the geometries of the twoAreaobjects  are equal.
java.awt.geom.Area.exclusiveOr,"Sets the shape of thisAreato be the combined area  of its current shape and the shape of the specifiedArea,  minus their intersection."
java.awt.geom.Area.getBounds,Returns a boundingRectanglethat completely encloses  thisArea.
java.awt.geom.Area.getBounds2D,Returns a high precision boundingRectangle2Dthat  completely encloses thisArea.
java.awt.geom.Area.getPathIterator,Creates aPathIteratorfor the outline of thisAreaobject.
java.awt.geom.Area.getPathIterator,Creates aPathIteratorfor the flattened outline of  thisAreaobject.
java.awt.geom.Area.intersect,Sets the shape of thisAreato the intersection of  its current shape and the shape of the specifiedArea.
java.awt.geom.Area.isEmpty,Tests whether thisAreaobject encloses any area.
java.awt.geom.Area.isPolygonal,Tests whether thisAreaconsists entirely of  straight edged polygonal geometry.
java.awt.geom.Area.isRectangular,Tests whether thisAreais rectangular in shape.
java.awt.geom.Area.isSingular,Tests whether thisAreais comprised of a single  closed subpath.
java.awt.geom.Area.reset,Removes all of the geometry from thisAreaand  restores it to an empty area.
java.awt.geom.Area.subtract,Subtracts the shape of the specifiedAreafrom the  shape of thisArea.
java.awt.geom.Area.transform,Transforms the geometry of thisAreausing the specifiedAffineTransform.
java.awt.geom.CubicCurve2D.getCtrlP1,Returns the first control point.
java.awt.geom.CubicCurve2D.getCtrlP2,Returns the second control point.
java.awt.geom.CubicCurve2D.getCtrlX1,Returns the X coordinate of the first control point in double precision.
java.awt.geom.CubicCurve2D.getCtrlX2,Returns the X coordinate of the second control point  in double precision.
java.awt.geom.CubicCurve2D.getCtrlY1,Returns the Y coordinate of the first control point in double precision.
java.awt.geom.CubicCurve2D.getCtrlY2,Returns the Y coordinate of the second control point  in double precision.
java.awt.geom.CubicCurve2D.getP1,Returns the start point.
java.awt.geom.CubicCurve2D.getP2,Returns the end point.
java.awt.geom.CubicCurve2D.getX1,Returns the X coordinate of the start point in double precision.
java.awt.geom.CubicCurve2D.getX2,Returns the X coordinate of the end point in double precision.
java.awt.geom.CubicCurve2D.getY1,Returns the Y coordinate of the start point in double precision.
java.awt.geom.CubicCurve2D.getY2,Returns the Y coordinate of the end point in double precision.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points of this curve  to the specified double coordinates.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points  of this curve to the specifiedfloatcoordinates.
java.awt.geom.CubicCurve2D.clone,Creates a new object of the same class as this object.
java.awt.geom.CubicCurve2D.getBounds,Returns an integerRectanglethat completely encloses theShape.
java.awt.geom.CubicCurve2D.getFlatness,Returns the flatness of this curve.
java.awt.geom.CubicCurve2D.getFlatness,Returns the flatness of the cubic curve specified  by the control points stored in the indicated array at the  indicated index.
java.awt.geom.CubicCurve2D.getFlatness,Returns the flatness of the cubic curve specified  by the indicated control points.
java.awt.geom.CubicCurve2D.getFlatnessSq,Returns the square of the flatness of this curve.
java.awt.geom.CubicCurve2D.getFlatnessSq,Returns the square of the flatness of the cubic curve specified  by the control points stored in the indicated array at the  indicated index.
java.awt.geom.CubicCurve2D.getFlatnessSq,Returns the square of the flatness of the cubic curve specified  by the indicated control points.
java.awt.geom.CubicCurve2D.getPathIterator,Returns an iteration object that defines the boundary of the  shape.
java.awt.geom.CubicCurve2D.getPathIterator,Return an iteration object that defines the boundary of the  flattened shape.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points of this curve  to the double coordinates at the specified offset in the specified  array.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points of this curve  to the same as those in the specifiedCubicCurve2D.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points of this curve  to the coordinates of thePoint2Dobjects at the specified  offset in the specified array.
java.awt.geom.CubicCurve2D.setCurve,Sets the location of the end points and control points of this curve  to the specifiedPoint2Dcoordinates.
java.awt.geom.CubicCurve2D.solveCubic,"Solves the cubic whose coefficients are in theeqnarray and places the non-complex roots back into the same array,  returning the number of roots."
java.awt.geom.CubicCurve2D.solveCubic,"Solve the cubic whose coefficients are in theeqnarray and place the non-complex roots into theresarray, returning the number of roots."
java.awt.geom.CubicCurve2D.subdivide,Subdivides the cubic curve specified by the coordinates  stored in thesrcarray at indicessrcoffthrough (srcoff+ 7) and stores the  resulting two subdivided curves into the two result arrays at the  corresponding indices.
java.awt.geom.CubicCurve2D.subdivide,Subdivides this cubic curve and stores the resulting two  subdivided curves into the left and right curve parameters.
java.awt.geom.CubicCurve2D.subdivide,Subdivides the cubic curve specified by thesrcparameter  and stores the resulting two subdivided curves into theleftandrightcurve parameters.
java.awt.geom.Dimension2D.setSize,Sets the size of thisDimensionobject to the  specified width and height.
java.awt.geom.Dimension2D.setSize,Sets the size of thisDimension2Dobject to  match the specified size.
java.awt.geom.Ellipse2D.equals,Determines whether or not the specifiedObjectis  equal to thisEllipse2D.
java.awt.geom.Ellipse2D.getPathIterator,Returns an iteration object that defines the boundary of thisEllipse2D.
java.awt.geom.Ellipse2D.hashCode,Returns the hashcode for thisEllipse2D.
java.awt.geom.FlatteningPathIterator.currentSegment,Returns the coordinates and type of the current path segment in  the iteration.
java.awt.geom.FlatteningPathIterator.getFlatness,Returns the flatness of this iterator.
java.awt.geom.FlatteningPathIterator.getRecursionLimit,Returns the recursion limit of this iterator.
java.awt.geom.FlatteningPathIterator.getWindingRule,Returns the winding rule for determining the interior of the  path.
java.awt.geom.FlatteningPathIterator.isDone,Tests if the iteration is complete.
java.awt.geom.FlatteningPathIterator.next,Moves the iterator to the next segment of the path forwards  along the primary direction of traversal as long as there are  more points in that direction.
java.awt.geom.Line2D.getP1,Returns the startPoint2Dof thisLine2D.
java.awt.geom.Line2D.getP2,Returns the endPoint2Dof thisLine2D.
java.awt.geom.Line2D.setLine,Sets the location of the end points of thisLine2Dto  the specified double coordinates.
java.awt.geom.Line2D.setLine,Sets the location of the end points of thisLine2Dto the specified float coordinates.
java.awt.geom.Line2D.contains,Tests if a specified coordinate is inside the boundary of thisLine2D.
java.awt.geom.Line2D.contains,Tests if the interior of thisLine2Dentirely contains  the specified set of rectangular coordinates.
java.awt.geom.Line2D.contains,Tests if a givenPoint2Dis inside the boundary of  thisLine2D.
java.awt.geom.Line2D.contains,Tests if the interior of thisLine2Dentirely contains  the specifiedRectangle2D.
java.awt.geom.Line2D.getPathIterator,Returns an iteration object that defines the boundary of thisLine2D.
java.awt.geom.Line2D.getPathIterator,Returns an iteration object that defines the boundary of this  flattenedLine2D.
java.awt.geom.Line2D.intersectsLine,"Tests if the line segment from(x1,y1)to(x2,y2)intersects this line segment."
java.awt.geom.Line2D.intersectsLine,Tests if the specified line segment intersects this line segment.
java.awt.geom.Line2D.linesIntersect,"Tests if the line segment from(x1,y1)to(x2,y2)intersects the line segment from(x3,y3)to(x4,y4)."
java.awt.geom.Line2D.ptLineDist,Returns the distance from a point to this line.
java.awt.geom.Line2D.ptLineDist,Returns the distance from a point to a line.
java.awt.geom.Line2D.ptLineDist,Returns the distance from aPoint2Dto this line.
java.awt.geom.Line2D.ptLineDistSq,Returns the square of the distance from a point to this line.
java.awt.geom.Line2D.ptLineDistSq,Returns the square of the distance from a point to a line.
java.awt.geom.Line2D.ptLineDistSq,Returns the square of the distance from a specifiedPoint2Dto this line.
java.awt.geom.Line2D.ptSegDist,Returns the distance from a point to this line segment.
java.awt.geom.Line2D.ptSegDist,Returns the distance from a point to a line segment.
java.awt.geom.Line2D.ptSegDist,Returns the distance from aPoint2Dto this line  segment.
java.awt.geom.Line2D.ptSegDistSq,Returns the square of the distance from a point to this line segment.
java.awt.geom.Line2D.ptSegDistSq,Returns the square of the distance from a point to a line segment.
java.awt.geom.Line2D.ptSegDistSq,Returns the square of the distance from aPoint2Dto  this line segment.
java.awt.geom.Line2D.relativeCCW,"Returns an indicator of where the specified point(px,py)lies with respect to this line segment."
java.awt.geom.Line2D.relativeCCW,"Returns an indicator of where the specified point(px,py)lies with respect to the line segment from(x1,y1)to(x2,y2)."
java.awt.geom.Line2D.relativeCCW,Returns an indicator of where the specifiedPoint2Dlies with respect to this line segment.
java.awt.geom.Line2D.setLine,Sets the location of the end points of thisLine2Dto  the same as those end points of the specifiedLine2D.
java.awt.geom.Line2D.setLine,Sets the location of the end points of thisLine2Dto  the specifiedPoint2Dcoordinates.
java.awt.geom.Path2D.append,"Appends the geometry of the specifiedPathIteratorobject  to the path, possibly connecting the new geometry to the existing  path segments with a line segment."
java.awt.geom.Path2D.curveTo,"Adds a curved segment, defined by three new points, to the path by  drawing a Bézier curve that intersects both the current  coordinates and the specified coordinates(x3,y3),  using the specified points(x1,y1)and(x2,y2)as  Bézier control points."
java.awt.geom.Path2D.getPathIterator,Returns an iterator object that iterates along theShapeboundary and provides access to the geometry of theShapeoutline.
java.awt.geom.Path2D.lineTo,Adds a point to the path by drawing a straight line from the  current coordinates to the new specified coordinates  specified in double precision.
java.awt.geom.Path2D.moveTo,Adds a point to the path by moving to the specified  coordinates specified in double precision.
java.awt.geom.Path2D.quadTo,"Adds a curved segment, defined by two new points, to the path by  drawing a Quadratic curve that intersects both the current  coordinates and the specified coordinates(x2,y2),  using the specified point(x1,y1)as a quadratic  parametric control point."
java.awt.geom.Path2D.transform,Transforms the geometry of this path using the specifiedAffineTransform.
java.awt.geom.Path2D.trimToSize,Trims the capacity of this Path2D instance to its current  size.
java.awt.geom.Path2D.lineTo,Adds a point to the path by drawing a straight line from the  current coordinates to the new specified coordinates  specified in float precision.
java.awt.geom.Path2D.moveTo,Adds a point to the path by moving to the specified  coordinates specified in float precision.
java.awt.geom.Path2D.append,"Appends the geometry of the specifiedShapeobject to the  path, possibly connecting the new geometry to the existing path  segments with a line segment."
java.awt.geom.Path2D.closePath,Closes the current subpath by drawing a straight line back to  the coordinates of the lastmoveTo.
java.awt.geom.Path2D.contains,Tests if the specified coordinates are inside the closed  boundary of the specifiedPathIterator.
java.awt.geom.Path2D.contains,Tests if the specified rectangular area is entirely inside the  closed boundary of the specifiedPathIterator.
java.awt.geom.Path2D.contains,Tests if the specifiedPoint2Dis inside the closed  boundary of the specifiedPathIterator.
java.awt.geom.Path2D.contains,Tests if the specifiedRectangle2Dis entirely inside the  closed boundary of the specifiedPathIterator.
java.awt.geom.Path2D.createTransformedShape,Returns a newShaperepresenting a transformed version  of thisPath2D.
java.awt.geom.Path2D.getCurrentPoint,Returns the coordinates most recently added to the end of the path  as aPoint2Dobject.
java.awt.geom.Path2D.getPathIterator,Returns an iterator object that iterates along theShapeboundary and provides access to a flattened view of theShapeoutline geometry.
java.awt.geom.Path2D.getWindingRule,Returns the fill style winding rule.
java.awt.geom.Path2D.intersects,Tests if the interior of the specifiedPathIteratorintersects the interior of a specified set of rectangular  coordinates.
java.awt.geom.Path2D.intersects,Tests if the interior of the specifiedPathIteratorintersects the interior of a specifiedRectangle2D.
java.awt.geom.Path2D.reset,Resets the path to empty.
java.awt.geom.Path2D.setWindingRule,Sets the winding rule for this path to the specified value.
java.awt.geom.Point2D.setLocation,Sets the location of thisPoint2Dto the  specifieddoublecoordinates.
java.awt.geom.Point2D.toString,Returns aStringthat represents the value  of thisPoint2D.
java.awt.geom.Point2D.setLocation,Sets the location of thisPoint2Dto the  specifiedfloatcoordinates.
java.awt.geom.Point2D.clone,Creates a new object of the same class and with the  same contents as this object.
java.awt.geom.Point2D.distance,Returns the distance from thisPoint2Dto  a specified point.
java.awt.geom.Point2D.distance,Returns the distance between two points.
java.awt.geom.Point2D.distance,Returns the distance from thisPoint2Dto a  specifiedPoint2D.
java.awt.geom.Point2D.distanceSq,Returns the square of the distance from thisPoint2Dto a specified point.
java.awt.geom.Point2D.distanceSq,Returns the square of the distance between two points.
java.awt.geom.Point2D.distanceSq,Returns the square of the distance from thisPoint2Dto a specifiedPoint2D.
java.awt.geom.Point2D.hashCode,Returns the hashcode for thisPoint2D.
java.awt.geom.Point2D.setLocation,Sets the location of thisPoint2Dto the same  coordinates as the specifiedPoint2Dobject.
java.awt.geom.QuadCurve2D.getCtrlPt,Returns the control point.
java.awt.geom.QuadCurve2D.getCtrlX,Returns the X coordinate of the control point indoubleprecision.
java.awt.geom.QuadCurve2D.getCtrlY,Returns the Y coordinate of the control point indoubleprecision.
java.awt.geom.QuadCurve2D.getX1,Returns the X coordinate of the start point indoublein precision.
java.awt.geom.QuadCurve2D.getX2,Returns the X coordinate of the end point indoubleprecision.
java.awt.geom.QuadCurve2D.getY1,Returns the Y coordinate of the start point indoubleprecision.
java.awt.geom.QuadCurve2D.getY2,Returns the Y coordinate of the end point indoubleprecision.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control point of this curve  to the specifieddoublecoordinates.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control point of this curve  to the specifiedfloatcoordinates.
java.awt.geom.QuadCurve2D.clone,Creates a new object of the same class and with the same contents  as this object.
java.awt.geom.QuadCurve2D.getFlatness,"Returns the flatness, or maximum distance of a  control point from the line connecting the end points, of thisQuadCurve2D."
java.awt.geom.QuadCurve2D.getFlatness,"Returns the flatness, or maximum distance of a  control point from the line connecting the end points, of the  quadratic curve specified by the control points stored in the  indicated array at the indicated index."
java.awt.geom.QuadCurve2D.getFlatness,"Returns the flatness, or maximum distance of a  control point from the line connecting the end points, of the  quadratic curve specified by the indicated control points."
java.awt.geom.QuadCurve2D.getFlatnessSq,"Returns the square of the flatness, or maximum distance of a  control point from the line connecting the end points, of thisQuadCurve2D."
java.awt.geom.QuadCurve2D.getFlatnessSq,"Returns the square of the flatness, or maximum distance of a  control point from the line connecting the end points, of the  quadratic curve specified by the control points stored in the  indicated array at the indicated index."
java.awt.geom.QuadCurve2D.getFlatnessSq,"Returns the square of the flatness, or maximum distance of a  control point from the line connecting the end points, of the  quadratic curve specified by the indicated control points."
java.awt.geom.QuadCurve2D.getPathIterator,Returns an iteration object that defines the boundary of the  shape of thisQuadCurve2D.
java.awt.geom.QuadCurve2D.getPathIterator,Returns an iteration object that defines the boundary of the  flattened shape of thisQuadCurve2D.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control points of thisQuadCurve2Dto thedoublecoordinates at  the specified offset in the specified array.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control points of thisQuadCurve2Dto the coordinates of thePoint2Dobjects at the specified offset in  the specified array.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control point of thisQuadCurve2Dto the specifiedPoint2Dcoordinates.
java.awt.geom.QuadCurve2D.setCurve,Sets the location of the end points and control point of thisQuadCurve2Dto the same as those in the specifiedQuadCurve2D.
java.awt.geom.QuadCurve2D.solveQuadratic,"Solves the quadratic whose coefficients are in theeqnarray and places the non-complex roots back into the same array,  returning the number of roots."
java.awt.geom.QuadCurve2D.solveQuadratic,"Solves the quadratic whose coefficients are in theeqnarray and places the non-complex roots into theresarray, returning the number of roots."
java.awt.geom.QuadCurve2D.subdivide,Subdivides the quadratic curve specified by the coordinates  stored in thesrcarray at indicessrcoffthroughsrcoff+ 5  and stores the resulting two subdivided curves into the two  result arrays at the corresponding indices.
java.awt.geom.QuadCurve2D.subdivide,Subdivides thisQuadCurve2Dand stores the resulting  two subdivided curves into theleftandrightcurve parameters.
java.awt.geom.QuadCurve2D.subdivide,Subdivides the quadratic curve specified by thesrcparameter and stores the resulting two subdivided curves into theleftandrightcurve parameters.
java.awt.geom.Rectangle2D.setRect,Sets the location and size of thisRectangle2Dto the specifieddoublevalues.
java.awt.geom.Rectangle2D.setRect,Sets thisRectangle2Dto be the same as the specifiedRectangle2D.
java.awt.geom.Rectangle2D.toString,Returns theStringrepresentation of thisRectangle2D.
java.awt.geom.Rectangle2D.setRect,Sets the location and size of thisRectangle2Dto the specifiedfloatvalues.
java.awt.geom.Rectangle2D.add,"Adds a point, specified by the double precision argumentsnewxandnewy, to thisRectangle2D."
java.awt.geom.Rectangle2D.add,Adds thePoint2Dobjectptto thisRectangle2D.
java.awt.geom.Rectangle2D.add,Adds aRectangle2Dobject to thisRectangle2D.
java.awt.geom.Rectangle2D.equals,Determines whether or not the specifiedObjectis  equal to thisRectangle2D.
java.awt.geom.Rectangle2D.getPathIterator,Returns an iteration object that defines the boundary of thisRectangle2D.
java.awt.geom.Rectangle2D.getPathIterator,Returns an iteration object that defines the boundary of the  flattenedRectangle2D.
java.awt.geom.Rectangle2D.hashCode,Returns the hashcode for thisRectangle2D.
java.awt.geom.Rectangle2D.intersect,Intersects the pair of specified sourceRectangle2Dobjects and puts the result into the specified destinationRectangle2Dobject.
java.awt.geom.Rectangle2D.intersectsLine,Tests if the specified line segment intersects the interior of thisRectangle2D.
java.awt.geom.Rectangle2D.outcode,Determines where the specifiedPoint2Dlies with  respect to thisRectangle2D.
java.awt.geom.Rectangle2D.setFrame,Sets the location and size of the outer bounds of thisRectangle2Dto the specified rectangular values.
java.awt.geom.Rectangle2D.union,Unions the pair of sourceRectangle2Dobjects  and puts the result into the specified destinationRectangle2Dobject.
java.awt.geom.RectangularShape.clone,Creates a new object of the same class and with the same  contents as this object.
java.awt.geom.RectangularShape.getCenterX,Returns the X coordinate of the center of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getCenterY,Returns the Y coordinate of the center of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getFrame,Returns the framingRectangle2Dthat defines the overall shape of this object.
java.awt.geom.RectangularShape.getMaxX,Returns the largest X coordinate of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getMaxY,Returns the largest Y coordinate of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getMinX,Returns the smallest X coordinate of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getMinY,Returns the smallest Y coordinate of the framing  rectangle of theShapeindoubleprecision.
java.awt.geom.RectangularShape.getPathIterator,Returns an iterator object that iterates along theShapeobject's boundary and provides access to a  flattened view of the outline of theShapeobject's geometry.
java.awt.geom.RectangularShape.setFrame,"Sets the location and size of the framing rectangle of thisShapeto the specifiedPoint2DandDimension2D, respectively."
java.awt.geom.RectangularShape.setFrame,Sets the framing rectangle of thisShapeto  be the specifiedRectangle2D.
java.awt.geom.RectangularShape.setFrameFromCenter,Sets the framing rectangle of thisShapebased on the specified center point coordinates and corner point  coordinates.
java.awt.geom.RectangularShape.setFrameFromCenter,Sets the framing rectangle of thisShapebased on a  specified centerPoint2Dand cornerPoint2D.
java.awt.geom.RectangularShape.setFrameFromDiagonal,Sets the diagonal of the framing rectangle of thisShapebased on the two specified coordinates.
java.awt.geom.RectangularShape.setFrameFromDiagonal,Sets the diagonal of the framing rectangle of thisShapebased on two specifiedPoint2Dobjects.
java.awt.geom.RoundRectangle2D.getArcHeight,Gets the height of the arc that rounds off the corners.
java.awt.geom.RoundRectangle2D.getArcWidth,Gets the width of the arc that rounds off the corners.
java.awt.geom.RoundRectangle2D.setRoundRect,"Sets the location, size, and corner radii of thisRoundRectangle2Dto the specifieddoublevalues."
java.awt.geom.RoundRectangle2D.setRoundRect,Sets thisRoundRectangle2Dto be the same as the  specifiedRoundRectangle2D.
java.awt.geom.RoundRectangle2D.setRoundRect,"Sets the location, size, and corner radii of thisRoundRectangle2Dto the specifiedfloatvalues."
java.awt.geom.RoundRectangle2D.equals,Determines whether or not the specifiedObjectis  equal to thisRoundRectangle2D.
java.awt.geom.RoundRectangle2D.getPathIterator,Returns an iteration object that defines the boundary of thisRoundRectangle2D.
java.awt.geom.RoundRectangle2D.hashCode,Returns the hashcode for thisRoundRectangle2D.
java.awt.im.InputContext.dispatchEvent,Dispatches an event to the active input method.
java.awt.im.InputContext.dispose,Releases the resources used by this input context.
java.awt.im.InputContext.endComposition,Ends any input composition that may currently be going on in this  context.
java.awt.im.InputContext.getInputMethodControlObject,"Returns a control object from the current input method, or null."
java.awt.im.InputContext.getInstance,Returns a new InputContext instance.
java.awt.im.InputContext.getLocale,Returns the current locale of the current input method or keyboard  layout.
java.awt.im.InputContext.isCompositionEnabled,Determines whether the current input method is enabled for composition.
java.awt.im.InputContext.reconvert,Asks the current input method to reconvert text from the  current client component.
java.awt.im.InputContext.removeNotify,"Notifies the input context that a client component has been  removed from its containment hierarchy, or that input method  support has been disabled for the component."
java.awt.im.InputContext.selectInputMethod,"Attempts to select an input method or keyboard layout that  supports the given locale, and returns a value indicating whether such  an input method or keyboard layout has been successfully selected."
java.awt.im.InputContext.setCharacterSubsets,Sets the subsets of the Unicode character set that input methods of this input  context should be allowed to input.
java.awt.im.InputContext.setCompositionEnabled,"Enables or disables the current input method for composition,  depending on the value of the parameterenable."
java.awt.im.InputMethodHighlight.getState,Returns the conversion state of the text range.
java.awt.im.InputMethodHighlight.getStyle,"Returns the rendering style attributes for the text range, or null."
java.awt.im.InputMethodHighlight.getVariation,Returns the variation of the text range.
java.awt.im.InputMethodHighlight.isSelected,Returns whether the text range is selected.
java.awt.image.AbstractMultiResolutionImage.getBaseImage,Return the base image representing the best version of the image for  rendering at the default width and height.
java.awt.image.AbstractMultiResolutionImage.getGraphics,"As per the contract of the baseImage#getGraphics()method,  this implementation will always throwUnsupportedOperationExceptionsince only off-screen images can return aGraphicsobject."
java.awt.image.AbstractMultiResolutionImage.getHeight,This method simply delegates to the same method on the base image and  it is equivalent to:getBaseImage().getHeight(observer).
java.awt.image.AbstractMultiResolutionImage.getProperty,"This method simply delegates to the same method on the base image and  it is equivalent to:getBaseImage().getProperty(name, observer)."
java.awt.image.AbstractMultiResolutionImage.getSource,This method simply delegates to the same method on the base image and  it is equivalent to:getBaseImage().getSource().
java.awt.image.AbstractMultiResolutionImage.getWidth,This method simply delegates to the same method on the base image and  it is equivalent to:getBaseImage().getWidth(observer).
java.awt.image.AffineTransformOp.createCompatibleDestImage,Creates a zeroed destination image with the correct size and number of  bands.
java.awt.image.AffineTransformOp.createCompatibleDestRaster,Creates a zeroed destinationRasterwith the correct size  and number of bands.
java.awt.image.AffineTransformOp.filter,Transforms the sourceBufferedImageand stores the results  in the destinationBufferedImage.
java.awt.image.AffineTransformOp.filter,Transforms the sourceRasterand stores the results in  the destinationRaster.
java.awt.image.AffineTransformOp.getBounds2D,Returns the bounding box of the transformed destination.
java.awt.image.AffineTransformOp.getInterpolationType,Returns the interpolation type used by this op.
java.awt.image.AffineTransformOp.getPoint2D,Returns the location of the corresponding destination point given a  point in the source.
java.awt.image.AffineTransformOp.getRenderingHints,Returns the rendering hints used by this transform operation.
java.awt.image.AffineTransformOp.getTransform,Returns the affine transform used by this transform operation.
java.awt.image.AreaAveragingScaleFilter.setHints,Detect if the data is being delivered with the necessary hints  to allow the averaging algorithm to do its work.
java.awt.image.AreaAveragingScaleFilter.setPixels,Combine the components for the delivered byte pixels into the  accumulation arrays and send on any averaged data for rows of  pixels that are complete.
java.awt.image.AreaAveragingScaleFilter.setPixels,Combine the components for the delivered int pixels into the  accumulation arrays and send on any averaged data for rows of  pixels that are complete.
java.awt.image.BandCombineOp.filter,Transforms theRasterusing the matrix specified in the  constructor.
java.awt.image.BandCombineOp.getMatrix,Returns a copy of the linear combination matrix.
java.awt.image.BandCombineOp.getPoint2D,Returns the location of the corresponding destination point given a  point in the sourceRaster.
java.awt.image.BandCombineOp.getRenderingHints,Returns the rendering hints for this operation.
java.awt.image.BandedSampleModel.createCompatibleSampleModel,Creates a new BandedSampleModel with the specified  width and height.
java.awt.image.BandedSampleModel.createDataBuffer,"Creates a DataBuffer that corresponds to this BandedSampleModel,  The DataBuffer's data type, number of banks, and size  will be consistent with this BandedSampleModel."
java.awt.image.BandedSampleModel.createSubsetSampleModel,Creates a new BandedSampleModel with a subset of the bands of this  BandedSampleModel.
java.awt.image.BandedSampleModel.getDataElements,Returns data for a single pixel in a primitive array of type  TransferType.
java.awt.image.BandedSampleModel.getPixel,Returns all samples for the specified pixel in an int array.
java.awt.image.BandedSampleModel.getPixels,"Returns all samples for the specified rectangle of pixels in  an int array, one sample per data array element."
java.awt.image.BandedSampleModel.getSample,"Returns as int the sample in a specified band for the pixel  located at (x,y)."
